,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-02 21:00:00,BTCUSD,30,30719.5,31022.0,30637.5,30964.0,200331753,281.181138080603,174.70192089785044,28552.586490719485,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 21:30:00,BTCUSD,30,30964.0,31692.0,30875.0,31692.0,303573753,384.5582679916952,216.67319031661938,28583.82443608546,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 22:00:00,BTCUSD,30,31692.0,31708.5,31230.0,31235.5,230531838,424.7533610218452,258.28922445766455,28610.209267567196,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 22:30:00,BTCUSD,30,31235.5,31469.0,31235.0,31433.0,80808470,467.1597346378112,300.06332649369386,28638.296737541652,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 23:00:00,BTCUSD,30,31433.0,31538.0,31384.0,31491.0,76956278,499.6871243980386,339.98808607456283,28666.681844630788,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 23:30:00,BTCUSD,30,31491.0,31950.5,31442.0,31817.0,186768673,545.4828044164715,381.08702974294454,28698.028293937943,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 00:00:00,BTCUSD,30,31817.0,32520.0,31816.5,32409.0,366538875,622.3713536683354,429.3438945280227,28734.95338554055,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 00:30:00,BTCUSD,30,32409.0,33161.5,32266.5,32612.0,558362119,691.7128511885312,481.8176858601244,28773.530963793877,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 01:00:00,BTCUSD,30,32612.0,32857.0,32533.5,32699.5,128906190,745.1375247306933,534.4816536342382,28812.59533231334,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 01:30:00,BTCUSD,30,32699.5,33038.0,32594.0,32961.0,151073317,799.3632658280476,587.457976073,28853.87299069828,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 02:00:00,BTCUSD,30,32961.0,33008.0,32552.5,32838.5,141338695,822.966188159844,634.5596184903688,28893.521020641583,Bull,0,0.0,,0.0,0.0,0.0,0.0
