,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
2021-11-06 12:00:00,16886785,BTCUSDT,720,720,1636200000,1636200000,7820.324,60412.0,61475.0,60150.0,61440.0,475519046.222
2021-11-07 00:00:00,16948349,BTCUSDT,720,720,1636243200,1636243200,11317.008,61440.0,62370.5,61378.0,61958.0,700942028.8235
2021-11-07 12:00:00,17009699,BTCUSDT,720,720,1636286400,1636286400,10088.012,61958.0,63300.0,61792.5,63264.0,629962686.4025
2021-11-08 00:00:00,17071239,BTCUSDT,720,720,1636329600,1636329600,23116.043,63264.0,66434.5,63263.5,66037.0,1508077400.213
2021-11-08 12:00:00,17133204,BTCUSDT,720,720,1636372800,1636372800,18161.95,66037.0,68000.0,65238.5,67603.5,1203950355.597
2021-11-09 00:00:00,17195966,BTCUSDT,720,720,1636416000,1636416000,15287.481,67603.5,68600.0,67150.0,67646.5,1038178278.811
2021-11-09 12:00:00,17259310,BTCUSDT,720,720,1636459200,1636459200,17958.23,67646.5,68165.5,66250.0,66976.5,1206367614.1855
2021-11-10 00:00:00,17324217,BTCUSDT,720,720,1636502400,1636502400,9990.727,66976.5,67390.0,66337.0,66623.0,666976145.1505
2021-11-10 12:00:00,17389225,BTCUSDT,720,720,1636545600,1636545600,44931.752,66623.0,69138.5,62512.5,64893.5,2982671007.612
2021-11-11 00:00:00,17454229,BTCUSDT,720,720,1636588800,1636588800,14463.71,64893.5,65594.0,64127.0,65268.0,937875429.385
2021-11-11 12:00:00,17520360,BTCUSDT,720,720,1636632000,1636632000,10404.058,65268.0,65495.0,64454.5,64831.0,675892461.046
2021-11-12 00:00:00,17586414,BTCUSDT,720,720,1636675200,1636675200,16672.499,64831.0,65465.0,63538.5,63809.0,1074454315.8675
2021-11-12 12:00:00,17654240,BTCUSDT,720,720,1636718400,1636718400,22894.131,63809.0,64595.5,62350.0,64141.0,1455128774.748
2021-11-13 00:00:00,17722771,BTCUSDT,720,720,1636761600,1636761600,7160.188,64141.0,64444.5,63409.5,63609.5,457273387.01
2021-11-13 12:00:00,17791381,BTCUSDT,720,720,1636804800,1636804800,11218.877,63609.5,65142.5,63512.5,64423.0,721814914.326
2021-11-14 00:00:00,17860113,BTCUSDT,720,720,1636848000,1636848000,10353.681,64423.0,65375.0,64120.0,64479.5,670217063.7425
2021-11-14 12:00:00,17928895,BTCUSDT,720,720,1636891200,1636891200,12183.709,64479.5,65530.0,63650.0,65529.5,784516371.827
2021-11-15 00:00:00,17997521,BTCUSDT,720,720,1636934400,1636934400,11740.056,65529.5,66383.0,65342.0,65755.0,773105444.94
2021-11-15 12:00:00,18066324,BTCUSDT,720,720,1636977600,1636977600,18077.077,65755.0,65951.5,63333.0,63691.5,1165400788.4755
2021-11-16 00:00:00,18134766,BTCUSDT,720,720,1637020800,1637020800,43559.648,63691.5,63691.5,58500.0,60600.0,2655488785.6995
2021-11-16 12:00:00,18204167,BTCUSDT,720,720,1637064000,1637064000,18042.226,60600.0,61428.0,59139.0,60111.0,1090382607.3865
2021-11-17 00:00:00,18273995,BTCUSDT,720,720,1637107200,1637107200,24682.232,60111.0,60930.5,58350.0,60780.0,1470444220.5105
2021-11-17 12:00:00,18343946,BTCUSDT,720,720,1637150400,1637150400,12989.3,60780.0,60800.0,59377.0,60370.5,780928213.8635
2021-11-18 00:00:00,18413783,BTCUSDT,720,720,1637193600,1637193600,14101.029,60370.5,61097.0,59028.0,59243.5,844954344.235
2021-11-18 12:00:00,18484547,BTCUSDT,720,720,1637236800,1637236800,38778.321,59243.5,59960.0,56483.0,56932.5,2251995162.8505
2021-11-19 00:00:00,18556814,BTCUSDT,720,720,1637280000,1637280000,20554.789,56932.5,57563.0,55665.5,57036.0,1163600098.2695
2021-11-19 12:00:00,18629083,BTCUSDT,720,720,1637323200,1637323200,13021.84,57036.0,58307.5,56753.0,58095.5,752219792.21
2021-11-20 00:00:00,18701335,BTCUSDT,720,720,1637366400,1637366400,8618.352,58095.5,58968.0,58003.5,58645.0,504773006.6795
2021-11-20 12:00:00,18773690,BTCUSDT,720,720,1637409600,1637409600,13892.861,58645.0,59863.5,57291.5,59731.0,815160817.244
2021-11-21 00:00:00,18845932,BTCUSDT,720,720,1637452800,1637452800,10066.609,59731.0,59778.0,58532.0,58741.0,594031958.5915
2021-11-21 12:00:00,18918231,BTCUSDT,720,720,1637496000,1637496000,11463.492,58741.0,60047.5,58560.0,58627.0,679641394.034
2021-11-22 00:00:00,18990460,BTCUSDT,720,720,1637539200,1637539200,17151.758,58627.0,58773.0,56735.0,57228.5,988162819.5765
2021-11-22 12:00:00,19063604,BTCUSDT,720,720,1637582400,1637582400,28053.318,57228.5,59692.0,55614.0,56278.0,1606403317.3545
2021-11-23 00:00:00,19138265,BTCUSDT,720,720,1637625600,1637625600,23345.27,56278.0,57748.5,55300.0,56139.0,1320751228.0715
2021-11-23 12:00:00,19214179,BTCUSDT,720,720,1637668800,1637668800,13216.333,56139.0,57902.0,56139.0,57586.5,756121979.081
2021-11-24 00:00:00,19292435,BTCUSDT,720,720,1637712000,1637712000,11749.254,57586.5,57732.0,56125.0,56683.5,667064858.5315
2021-11-24 12:00:00,19372513,BTCUSDT,720,720,1637755200,1637755200,11242.059,56683.5,57495.0,55935.0,57185.5,637233823.68
2021-11-25 00:00:00,19455601,BTCUSDT,720,720,1637798400,1637798400,12358.142,57185.5,58499.5,57041.5,58035.0,713820569.0795
2021-11-25 12:00:00,19538740,BTCUSDT,720,720,1637841600,1637841600,12606.84,58035.0,59440.5,57968.0,58937.0,742031526.475
